FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
23448,1,4,5,197.0209961,5.2296901,12.6671,1188.349976,53.7078018,1.65044,-6.7027001,0.741325,0.417,0.802742,314.7929993
7834,1,4,5,232.125,5.4472399,2.8628399,1189.400024,37.0792999,1.65968,-4.1891899,0.772871,0.38652,0.822367,3228.060059
14835,1,4,1,354.1300049,11.0288,25.2565994,1192.01001,59.6511002,1.77144,-10.5676003,0.77918,-0.0035665,0.203047,40.3050995
11030,1,4,2,86.8201981,7.38587,8.9862404,1190.280029,56.3120003,1.72121,-0.432432,0.681388,0.0453415,0.208582,324.9500122
26717,1,4,1,159.4440002,25.5897007,12.6717997,1177.329956,53.6240005,1.45963,-2.2973001,0.709779,0.373134,-0.30303,0
3497,1,2,5,275.598999,80.4110031,12.6671,1163.23999,19.6980991,1.91348,2.2973001,0.750789,0.303831,0.718764,880.276001
28060,1,3,5,124.1139984,20.4659996,9.3261499,1173.339966,140.1589966,1.43217,-8.1891899,0.741325,0.322795,0.678299,703.8980103
686,1,4,5,123.1110001,37.0872002,25.7219009,1142.839966,106.5139999,1.90232,-1.21622,0.712934,0.316074,0.770927,28.5
23994,1,4,5,139.6670074,43.2060013,16.9587002,1181.099976,117.4499969,1.71311,2.1351399,0.744479,0.357447,0.791715,285
18896,1,4,2,15.2551003,10.0957003,5.7114701,1185.849976,38.483799,1.58333,0.540541,0.678233,0.382992,0.686532,57
18939,1,4,5,342.473999,14.7966003,19.2674999,1185.969971,51.7579002,1.58333,-1.91892,0.675079,0.370502,0.748335,102.7580032
9082,1,4,2,106.6309967,14.0509005,19.4157009,1192.119995,38.4584999,1.74909,1.1351399,0.760252,-0.0197505,0.172521,1353.969971
28071,1,3,3,77.735199,14.6906996,11.6657,1173.390015,169.9160004,1.4333301,-5.7297301,0.753943,0.332483,0.72514,712.5
13207,1,4,1,124.6949997,3.5687001,3.96701,1192.439941,57.3874016,1.7667,-6.3513498,0.731861,0.0698674,0.234905,0
4494,1,2,5,78.3406982,40.0122986,29.4349003,1172.890015,83.9182968,1.7761,-5.2702699,0.662461,0.33478,0.771036,28.5
2940,1,2,5,135,9.9430704,0.355383,1165.52002,55.6044998,1.93922,-1.54054,0.741325,0.247195,0.605978,254.9120026
16240,1,4,2,37.5685997,29.1084003,8.1869898,1190.280029,35.786499,1.74413,-0.432432,0.798107,0.366999,0.672031,411.0329895
17255,1,4,2,26.5650997,30.2444,1.12369,1189.459961,87.9776993,1.72475,-1.3783799,0.719243,0.102041,0.251596,684.5939941
3816,1,4,5,0,149.7590027,3.01279,1176.030029,13.0832005,1.7698801,4.7027001,0.731861,0.408939,0.746941,405.0610046
20016,1,4,4,293.4989929,22.7793999,12.4074001,1180.310059,17.4831009,1.75861,1,0.73817,0.318503,0.727595,442.4389954
2160,1,2,5,323.1300049,21.3279991,21.5410004,1169.380005,51.5550995,1.76534,-0.72973,0.744479,0.318006,0.66188,142.5
15642,1,4,2,185.5720062,26.7131004,19.8677006,1189.449951,24.7157993,1.7185,-0.108108,0.785489,0.0741675,0.181793,544.4920044
22632,1,4,3,266.0090027,60.1021004,10.7056999,1186.060059,17.3707008,1.60021,1.16216,0.728707,0.185462,0.538114,540.7490234
1461,1,2,4,198.996994,10.0753002,15.7990999,1152.569946,29.0424004,2.0759001,3.2162199,0.671924,0.270073,0.557364,182.4889984
27435,1,4,3,313.7640076,36.7643013,40.7737007,1172.349976,102.1449966,1.39821,-11.2702999,0.678233,0.393544,0.788641,120.9150009
19952,1,4,4,261.0270081,17.1352997,9.5773897,1180.449951,13.4596004,1.76802,1.24324,0.757098,0.22792,0.596719,343.1849976
18434,1,4,2,239.6970062,40.7891998,21.3635998,1186.27002,36.4611015,1.58333,2.6216199,0.697161,0.223592,0.53337,207.4830017
8165,1,4,2,207.0310059,78.1688004,13.5643997,1186.130005,22.7901993,1.66189,9.5945902,0.731861,-0.0296809,0.0957661,254.9120026
22078,1,3,5,326.3099976,80.0586014,3.6194401,1187.609985,3.6949999,1.70667,3.6486499,0.73817,0.283487,0.719336,1351.869995
1922,1,4,5,177.0820007,143.3130035,48.2364998,1168.790039,37.411499,1.8654701,-3.91892,0.66877,0.361225,0.745018,2011.420044
25005,1,4,5,194.0359955,43.5050011,2.0713501,1189.839966,6.1037998,1.76798,4.3513498,0.700315,0.345264,0.655516,4568.279785
13344,1,4,2,346.8659973,21.7844009,28.3892002,1192.439941,23.4283009,1.7667,1.54054,0.722397,0.0417502,0.148543,114
10217,1,4,5,83.2463989,41.9836998,33.8744011,1191.670044,105.6539993,1.65043,-8.6756802,0.656151,0.357432,0.833589,2091.600098
23022,1,4,5,252.5249939,16.5112,26.4090996,1188.280029,44.5876999,1.65625,-5.8648601,0.744479,0.405107,0.808288,487.8410034
4319,1,2,5,96.6667023,22.2714996,18.7789993,1173.310059,147.5189972,1.7760201,0.216216,0.599369,0.384562,0.786512,63.7279015
13435,1,4,5,102.9950027,4.7701998,3.3489101,1192.569946,58.850399,1.84187,-2.48649,0.747634,0.334414,0.804472,516.1569824
1273,1,2,5,34.1596985,15.1274996,16.5321007,1153.140015,35.4673996,2.0759001,5.08108,0.700315,0.335898,0.74604,408.0580139
26497,1,4,5,117.8970032,29.2199001,4.8223801,1177.02002,60.8252983,1.42107,2,0.753943,0.270566,0.588909,40.3050995
3596,1,2,4,232.253006,34.0125999,18.9780998,1162.75,70.8107986,1.93496,6.8648601,0.643533,0.0595894,0.4157,254.9120026
2158,1,2,4,299.7449951,10.1556997,11.9785004,1169.380005,51.6236992,1.7664599,-6.7567601,0.757098,0.288002,0.497136,102.7580032
266,1,2,5,166.3990021,24.2966995,29.2292004,1151.709961,99.2885971,2.0192299,-1.48649,0.596215,0.225328,0.638062,999.1270142
25351,1,3,5,72.552803,35.9491997,9.1412001,1179.829956,52.6022987,1.4935,-1.97297,0.659306,0.194504,0.554931,1576.540039
7197,1,4,2,326.3099976,41.0065002,5.4201598,1183.969971,22.5997009,1.5905499,2.5945899,0.687697,-0.005291,0.336326,726.6099854
1541,1,2,1,225,5.8762202,2.13134,1160.280029,43.112999,1.9940799,-4.2702699,0.731861,0.507282,-0.312292,85.5
459,1,2,5,123.6900024,13.7610998,5.4201598,1151.01001,17.4302006,2.0515599,-4.08108,0.788644,0.329171,0.683206,306.95401
27044,1,4,2,133.3399963,17.6681995,23.1788998,1177.910034,54.1100006,1.5414,-2.2432401,0.684543,0.245395,0.542396,0
26820,1,4,3,78.4077988,60.9429016,19.2507,1178.040039,110.1740036,1.49122,4.7027001,0.709779,0.269737,0.692411,191.1840057
23292,1,4,5,108.4349976,44.6419983,3.96701,1185.579956,17.868,1.58729,-0.567568,0.769716,0.25525,0.728682,862.5670166
348,1,2,4,120.5790024,9.4268198,12.6344004,1151.439941,116.2900009,2.02282,-9.4324303,0.684543,0.292622,0.647763,842.0770264
10640,1,4,2,340.0169983,8.8434801,11.6041002,1190.27002,26.1403008,1.71736,-0.108108,0.788644,-0.0296137,0.338662,997.5
21637,1,2,3,133.7810059,41.0695,30.2500992,1173.359985,91.1050034,1.59864,-5.4594598,0.678233,0.331151,0.820432,2845.719971
9026,1,4,2,181.0420074,21.7875996,35.8972015,1192.099976,34.0544014,1.75515,-10.4595003,0.760252,-0.0429058,0.216388,1262.390015
15818,1,4,1,151.6990051,39.7505989,32.9263,1188.880005,63.4518013,1.67972,3.6486499,0.599369,-0.0677249,0.132391,40.3050995
15173,1,4,2,29.4759007,27.1343994,13.0480003,1191.949951,10.0061998,1.7717,2.7567599,0.801262,-0.0382514,0.288136,403.0509949
24968,1,4,3,277.5950012,27.5275002,21.7138996,1177.25,178.279007,1.6609499,-2.8108101,0.634069,0.328789,0.727335,207.4830017
28988,1,2,5,32.905201,24.2851009,14.9186001,1164.5,84.8571014,1.27349,0.243243,0.725552,0.326361,0.746439,57
22292,1,4,4,244.654007,68.9178009,10.4490004,1186.160034,129.7100067,1.61488,-1.91892,0.615142,0.150672,0.584931,434.098999
13125,1,4,4,116.5650024,11.3961,2.24652,1192.5,22.8586998,1.7667,1.21622,0.753943,0.0057882,0.513707,90.1249008
2400,1,4,1,278.3930054,12.6113997,15.1330996,1168.670044,51.9917984,1.7742,-3.2162199,0.675079,0.488978,-0.22321,28.5
