FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
7950,1,4,5,258.3110046,5.8733401,14.5621004,1189.01001,37.4138985,1.67636,-6.8108101,0.766562,0.328142,0.743914,2604.75
16516,1,4,2,153.4349976,36.1679001,8.9179602,1190.449951,96.6524963,1.73931,0.243243,0.652997,0.0035942,0.17047,217.0500031
15618,1,4,2,164.3580017,27.8339005,6.4960799,1189.329956,57.7999001,1.70875,1.02703,0.757098,-0.0503856,0.253053,509.822998
24181,1,4,5,111.1940002,22.2590008,12.9800997,1182.619995,92.6751022,1.6023,-2.94595,0.599369,0.347399,0.746449,308.2749939
6829,1,4,5,100.8639984,97.1704025,23.8519001,1184.290039,84.5315018,1.55814,0.675676,0.564669,0.367939,0.818754,870.0670166
25877,1,2,4,315,114.5530014,17.8766003,1173.150024,84.1066971,1.39223,12.8107996,0.586751,0.231764,0.467836,382.3680115
14207,1,4,4,63.6579018,65.7935028,26.7527008,1191.920044,33.9826012,1.77615,-5.7837801,0.630915,0.311616,0.710152,423.6830139
7419,1,2,5,311.1000061,16.4808998,15.2990999,1183.73999,38.2240982,1.57512,-1.10811,0.77918,0.346214,0.76701,383.428009
5734,1,2,5,221.0549927,8.1389599,10.2208996,1181.449951,66.2522964,1.54066,-4.94595,0.694006,0.360386,0.842342,400.0169983
9645,1,4,2,103.4489975,27.9789009,22.5328007,1191.52002,23.9794998,1.73448,-2.3243201,0.791798,-0.047937,0.511549,235.0169983
17393,1,4,2,306.4689941,75.1903992,7.14993,1189.780029,37.5455017,1.72475,1.1351399,0.769716,0.098285,0.273423,775.2839966
27931,1,4,5,77.471199,24.1210003,13.6375999,1173.140015,115.0800018,1.40179,-5.6216202,0.659306,0.247454,0.655033,1160.479981
23790,1,4,2,107.6999969,10.0783005,12.2096996,1179.900024,90.8062973,1.6613899,3.6486499,0.798107,0.355967,0.617896,241.8309937
5998,1,2,5,262.6940002,28.1977005,9.7845697,1180.800049,44.2386017,1.54584,0.162162,0.753943,0.321548,0.706315,688.7340088
24292,1,4,1,110.5559998,29.7852993,8.5248699,1178.160034,14.3048,1.63401,1.3783799,0.675079,0.195413,-0.0685034,0
11556,1,4,5,110.8980026,45.5127983,14.4783001,1192.099976,58.3255005,1.76706,-6.1621599,0.716088,0.352077,0.832192,423.6830139
27631,1,4,2,75.0686035,13.0173998,7.7546701,1173.569946,104.5940018,1.3951401,-1.7027,0.747634,-0.221311,0.189753,1632.229981
8057,1,4,2,273.3659973,52.9757004,4.2715101,1187.310059,19.2800999,1.68557,2,0.839117,0.318814,0.587764,540.7490234
20160,1,4,1,1.54816,4.63868,9.2209501,1184.560059,47.6750984,1.5818599,-1.56757,0.753943,0.307912,-0.235655,28.5
26086,1,2,5,271.5480042,85.9869003,9.2209501,1173.380005,123.0220032,1.39291,-4.02703,0.643533,0.307127,0.703239,427.5
